
==========================================================
 Experiment : survey-local-8-N1
 Config     : configs/survey-local-8-N1.yaml
 Method     : actor_critic
 Env        : 8x8, N=1, steps=80
 Train      : 4000 eps x 5 seed(s), lr=0.0003, gamma=0.99
==========================================================

survey-local-8-N1 (5 seeds): 0 / 4000 eps ...
[  0.0%] ep      1/4000 | loss +0.0241 | reward +1.072 |    0.9s elapsed / 3501.
[ 91.0%] ep   3641/4000 | loss -0.0325 | reward +2.759 |    8.9s elapsed /    0.
[ 91.5%] ep   3661/4000 | loss -0.0304 | reward +2.759 |    9.0s elapsed /    0.
[ 92.0%] ep   3681/4000 | loss -0.0351 | reward +2.421 |    9.0s elapsed /    0.
[ 92.5%] ep   3701/4000 | loss -0.0405 | reward +2.421 |    9.1s elapsed /    0.
[ 93.0%] ep   3721/4000 | loss -0.0344 | reward +2.674 |    9.1s elapsed /    0.
[ 93.5%] ep   3741/4000 | loss -0.0399 | reward +2.337 |    9.2s elapsed /    0.
[ 94.0%] ep   3761/4000 | loss -0.0238 | reward +2.843 |    9.2s elapsed /    0.
[ 94.5%] ep   3781/4000 | loss -0.0432 | reward +2.000 |    9.2s elapsed /    0.
[ 95.0%] ep   3801/4000 | loss -0.0396 | reward +2.674 |    9.3s elapsed /    0.
[ 95.5%] ep   3821/4000 | loss -0.0300 | reward +2.590 |    9.3s elapsed /    0.
[ 96.0%] ep   3841/4000 | loss -0.0336 | reward +2.421 |    9.4s elapsed /    0.
[ 96.5%] ep   3861/4000 | loss -0.0330 | reward +2.421 |    9.4s elapsed /    0.
[ 97.0%] ep   3881/4000 | loss -0.0279 | reward +2.674 |    9.5s elapsed /    0.
[ 97.5%] ep   3901/4000 | loss -0.0332 | reward +2.759 |    9.5s elapsed /    0.
[ 98.0%] ep   3921/4000 | loss -0.0309 | reward +2.759 |    9.6s elapsed /    0.
[ 98.5%] ep   3941/4000 | loss -0.0302 | reward +2.674 |    9.6s elapsed /    0.
[ 99.0%] ep   3961/4000 | loss -0.0300 | reward +2.674 |    9.6s elapsed /    0.
[ 99.5%] ep   3981/4000 | loss -0.0342 | reward +2.506 |    9.7s elapsed /    0.
[100.0%] ep   4000/4000 | loss -0.0399 | reward +2.506 |    9.7s elapsed /    0.
done: 4000 eps in 9.7s

============================================================
  Experiment: survey-local-8-N1
  Method:     actor_critic
  Agents:     1
  Grid:       8x8
  Episodes:   4000
  Seeds:      5
  Time:       9.8s
------------------------------------------------------------
  Final loss:   -0.0330 +/- 0.0065
  Final reward: 2.66 +/- 0.20
------------------------------------------------------------
  Output: experiments/survey-local-8-N1
============================================================

